,y_pred
0,2
1,0
2,0
3,3
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,2
34,3
35,2
36,0
37,1
38,1
39,0
40,0
41,3
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,2
53,0
54,0
55,0
56,0
57,0
58,0
59,4
60,0
61,4
62,1
63,1
64,1
65,1
66,3
67,1
68,4
69,1
70,0
71,1
72,1
73,3
74,1
75,1
76,1
77,4
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,4
93,3
94,3
95,1
96,1
97,3
98,1
99,1
100,1
101,1
102,4
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,3
112,1
113,4
114,4
115,3
116,3
117,4
118,1
119,4
120,4
121,0
122,2
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,2
132,1
133,3
134,0
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,0
143,1
144,3
145,2
146,1
147,1
148,1
149,2
150,0
151,1
152,0
153,1
154,0
155,2
156,2
157,1
158,2
159,1
160,3
161,2
162,0
163,0
164,1
165,2
166,2
167,1
168,2
169,1
170,1
171,1
172,2
173,2
174,2
175,2
176,1
177,1
178,0
179,1
180,0
181,3
182,3
183,3
184,3
185,1
186,3
187,3
188,3
189,3
190,3
191,1
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,0
200,3
201,0
202,3
203,3
204,3
205,3
206,3
207,3
208,0
209,1
210,3
211,2
212,3
213,0
214,3
215,3
216,1
217,3
218,3
219,3
220,3
221,1
222,1
223,0
224,1
225,3
226,0
227,3
228,3
229,3
230,3
231,2
232,3
233,3
234,0
235,1
236,0
237,3
238,0
239,3
240,3
241,3
242,1
243,4
244,4
245,4
246,4
247,1
248,4
249,4
250,4
251,4
252,4
253,1
254,1
255,1
256,4
257,4
258,4
259,4
260,4
261,1
262,4
263,1
264,4
265,1
266,1
267,1
268,1
269,3
270,4
271,4
272,1
273,4
274,4
275,4
276,4
277,4
278,4
279,3
280,4
281,4
282,4
283,4
284,3
285,4
286,4
287,4
288,1
289,4
290,3
291,4
292,4
293,1
294,1
295,1
296,4
297,4
298,4
299,4
300,1
301,4
302,4
303,4
304,2
305,2
306,0
307,2
308,1
309,0
310,0
311,3
312,0
313,3
314,2
315,0
316,3
317,2
318,0
319,3
320,0
321,3
322,0
323,3
324,3
325,3
326,3
327,3
328,1
329,0
330,2
331,3
332,3
333,0
334,1
335,3
336,0
337,3
338,3
339,1
340,2
341,3
342,0
343,2
344,3
345,3
346,2
347,3
348,0
349,1
350,3
351,3
352,3
353,0
354,2
355,2
356,3
357,0
358,0
359,0
360,0
361,1
362,1
363,1
364,3
365,4
366,4
367,1
368,1
369,1
370,1
371,1
372,4
373,1
374,1
375,4
376,4
377,3
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,4
389,1
390,3
391,1
392,3
393,4
394,1
395,1
396,1
397,1
398,1
399,4
400,0
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,3
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,2
422,2
423,3
424,1
425,2
426,2
427,2
428,3
429,2
430,3
431,3
432,0
433,2
434,1
435,2
436,2
437,3
438,2
439,2
440,0
441,0
442,2
443,1
444,2
445,2
446,3
447,2
448,2
449,3
450,2
451,3
452,3
453,2
454,1
455,2
456,2
457,4
458,4
459,0
460,1
461,1
462,2
463,3
464,2
465,2
466,2
467,2
468,3
469,2
470,4
471,2
472,3
473,3
474,0
475,2
476,2
477,2
478,1
479,1
480,3
481,3
482,0
483,0
484,3
485,1
486,0
487,3
488,3
489,3
490,1
491,3
492,0
493,3
494,1
495,3
496,1
497,1
498,0
499,1
500,3
501,1
502,3
503,1
504,3
505,1
506,3
507,3
508,3
509,3
510,1
511,1
512,3
513,3
514,3
515,3
516,3
517,3
518,1
519,3
520,3
521,0
522,0
523,3
524,1
525,1
526,3
527,3
528,0
529,1
530,1
531,1
532,3
533,4
534,2
535,4
536,3
537,3
538,4
539,4
540,4
541,4
542,4
543,4
544,4
545,4
546,4
547,4
548,3
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,4
559,3
560,4
561,4
562,4
563,3
564,3
565,4
566,4
567,4
568,4
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,3
580,4
581,4
582,4
583,4
584,4
585,4
586,4
587,4
588,3
589,4
590,4
591,4
592,3
593,4
594,4
595,4
596,4
597,4
598,3
599,2
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,2
612,3
613,0
614,0
615,3
616,3
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,3
627,3
628,3
629,3
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,2
639,3
640,3
641,0
642,3
643,3
644,3
645,3
646,3
647,3
648,2
649,3
650,3
651,0
652,3
653,3
654,3
655,3
656,3
657,4
658,3
659,3
660,3
661,1
662,1
663,1
664,1
665,4
666,1
667,1
668,2
669,3
670,0
671,1
672,1
673,1
674,3
675,1
676,3
677,3
678,1
679,1
680,1
681,4
682,1
683,1
684,1
685,3
686,3
687,0
688,3
689,1
690,2
691,4
692,3
693,3
694,1
695,1
696,2
697,1
698,0
699,3
700,3
701,3
702,3
703,1
704,1
705,2
706,1
707,2
708,1
709,1
710,4
711,1
712,1
713,4
714,3
715,3
716,1
717,1
718,4
719,3
720,2
721,3
722,3
723,3
724,2
725,2
726,2
727,3
728,2
729,2
730,3
731,3
732,2
733,2
734,3
735,3
736,3
737,2
738,3
739,2
740,3
741,3
742,2
743,2
744,3
745,3
746,3
747,3
748,3
749,2
750,2
751,3
752,3
753,3
754,2
755,3
756,3
757,3
758,3
759,2
760,2
761,2
762,3
763,3
764,3
765,2
766,2
767,3
768,2
769,2
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,2
779,2
780,2
781,3
782,3
783,3
784,3
785,3
786,2
787,3
788,2
789,3
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,3
800,3
801,3
802,2
803,2
804,2
805,2
806,3
807,2
808,2
809,2
810,3
811,3
812,2
813,2
814,3
815,3
816,3
817,3
818,3
819,3
820,3
821,3
822,3
823,3
824,3
825,3
826,3
827,3
828,3
829,3
830,3
831,3
832,3
833,3
834,3
835,3
836,3
837,3
838,3
839,3
840,3
841,3
842,3
843,3
844,3
845,3
846,3
847,3
848,3
849,3
850,3
851,3
852,2
853,3
854,2
855,3
856,3
857,3
858,3
859,2
860,3
861,3
862,3
863,3
864,3
865,3
866,3
867,3
868,2
869,3
870,3
871,3
872,3
873,3
874,3
875,2
876,3
877,3
878,3
879,3
880,3
881,3
882,3
883,3
884,4
885,4
886,3
887,4
888,4
889,4
890,4
891,4
892,4
893,4
894,4
895,4
896,4
897,4
898,4
899,4
900,4
901,4
902,4
903,4
904,4
905,4
906,4
907,4
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,4
919,3
920,4
921,4
922,4
923,4
924,4
925,4
926,3
927,3
928,4
929,3
930,4
931,4
932,4
933,4
934,4
935,4
936,3
937,4
938,4
939,4
940,4
941,1
942,4
943,4
944,4
945,3
946,4
947,4
948,4
949,3
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,3
958,2
959,4
960,0
961,1
962,0
963,0
964,2
965,2
966,2
967,2
968,2
969,2
970,2
971,2
972,2
973,1
974,0
975,0
976,2
977,2
978,2
979,2
980,0
981,1
982,2
983,2
984,2
985,0
986,2
987,2
988,2
989,2
990,0
991,2
992,2
993,2
994,2
995,2
996,2
997,2
998,0
999,2
1000,2
1001,2
1002,2
1003,2
1004,2
1005,2
1006,2
1007,0
1008,1
1009,2
1010,2
1011,2
1012,2
1013,2
1014,1
1015,1
1016,2
1017,2
1018,2
1019,4
1020,1
1021,2
1022,2
1023,1
1024,4
1025,1
1026,1
1027,1
1028,2
1029,1
1030,4
1031,4
1032,1
1033,1
1034,4
1035,1
1036,1
1037,1
1038,2
1039,1
1040,1
1041,1
1042,4
1043,4
1044,1
1045,1
1046,1
1047,4
1048,4
1049,1
1050,1
1051,4
1052,1
1053,1
1054,2
1055,1
1056,4
1057,2
1058,2
1059,1
1060,4
1061,1
1062,1
1063,4
1064,4
1065,2
1066,2
1067,2
1068,4
1069,2
1070,2
1071,2
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,4
1079,1
1080,1
1081,2
1082,2
1083,1
1084,2
1085,2
1086,2
1087,2
1088,2
1089,2
1090,1
1091,1
1092,2
1093,2
1094,2
1095,2
1096,2
1097,1
1098,1
1099,2
1100,2
1101,2
1102,2
1103,1
1104,2
1105,2
1106,1
1107,1
1108,2
1109,1
1110,2
1111,2
1112,2
1113,2
1114,2
1115,4
1116,2
1117,2
1118,1
1119,2
1120,2
1121,1
1122,2
1123,2
1124,1
1125,1
1126,1
1127,2
1128,2
1129,2
1130,2
1131,2
1132,2
1133,2
1134,1
1135,2
1136,1
1137,2
1138,2
1139,1
1140,1
1141,1
1142,1
1143,2
1144,4
1145,1
1146,2
1147,1
1148,2
1149,4
1150,1
1151,1
1152,1
1153,1
1154,1
1155,2
1156,4
1157,2
1158,4
