,y_pred
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,3
66,0
67,1
68,1
69,0
70,4
71,1
72,4
73,3
74,1
75,1
76,1
77,1
78,4
79,4
80,1
81,1
82,1
83,1
84,0
85,1
86,3
87,1
88,0
89,1
90,1
91,3
92,1
93,1
94,0
95,1
96,1
97,3
98,4
99,1
100,1
101,1
102,1
103,4
104,1
105,1
106,1
107,1
108,1
109,1
110,4
111,3
112,4
113,1
114,1
115,0
116,4
117,1
118,1
119,1
120,4
121,2
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,3
132,1
133,0
134,0
135,2
136,2
137,2
138,2
139,0
140,2
141,0
142,0
143,1
144,0
145,2
146,1
147,2
148,1
149,3
150,0
151,0
152,0
153,1
154,0
155,3
156,0
157,1
158,1
159,1
160,3
161,2
162,0
163,0
164,1
165,0
166,2
167,2
168,0
169,0
170,1
171,2
172,1
173,0
174,1
175,2
176,1
177,1
178,0
179,3
180,0
181,3
182,3
183,3
184,3
185,0
186,3
187,3
188,3
189,3
190,0
191,0
192,3
193,3
194,0
195,0
196,3
197,3
198,3
199,0
200,3
201,0
202,3
203,4
204,3
205,3
206,0
207,3
208,0
209,4
210,0
211,3
212,1
213,3
214,0
215,0
216,3
217,3
218,3
219,3
220,3
221,3
222,0
223,3
224,0
225,4
226,0
227,1
228,3
229,3
230,3
231,0
232,3
233,3
234,0
235,0
236,0
237,3
238,0
239,3
240,2
241,3
242,1
243,4
244,1
245,4
246,4
247,4
248,1
249,1
250,4
251,1
252,1
253,1
254,1
255,1
256,3
257,1
258,4
259,4
260,4
261,1
262,4
263,1
264,1
265,1
266,1
267,1
268,1
269,4
270,1
271,1
272,1
273,1
274,4
275,1
276,4
277,1
278,1
279,1
280,3
281,4
282,4
283,4
284,1
285,4
286,1
287,4
288,1
289,4
290,0
291,1
292,1
293,1
294,1
295,4
296,4
297,4
298,3
299,1
300,1
301,1
302,4
303,1
304,2
305,2
306,0
307,2
308,2
309,0
310,0
311,0
312,0
313,0
314,2
315,0
316,2
317,2
318,2
319,3
320,0
321,0
322,0
323,2
324,2
325,3
326,2
327,2
328,0
329,0
330,2
331,2
332,2
333,2
334,1
335,0
336,2
337,2
338,0
339,0
340,2
341,0
342,3
343,2
344,3
345,2
346,2
347,2
348,0
349,1
350,2
351,0
352,1
353,0
354,2
355,2
356,3
357,0
358,0
359,0
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,4
375,1
376,0
377,1
378,0
379,1
380,1
381,4
382,1
383,1
384,0
385,1
386,3
387,1
388,1
389,1
390,4
391,1
392,3
393,4
394,0
395,1
396,1
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,1
407,1
408,1
409,3
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,2
422,2
423,0
424,2
425,2
426,2
427,2
428,3
429,2
430,3
431,2
432,0
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,0
441,2
442,2
443,2
444,2
445,3
446,2
447,2
448,2
449,3
450,0
451,3
452,0
453,0
454,2
455,2
456,2
457,2
458,2
459,0
460,0
461,0
462,0
463,3
464,2
465,2
466,2
467,2
468,0
469,2
470,0
471,0
472,2
473,0
474,0
475,2
476,2
477,2
478,1
479,1
480,3
481,3
482,4
483,0
484,1
485,1
486,0
487,2
488,1
489,0
490,1
491,4
492,1
493,0
494,1
495,3
496,1
497,1
498,3
499,1
500,3
501,1
502,4
503,1
504,3
505,1
506,3
507,3
508,3
509,1
510,1
511,1
512,0
513,1
514,1
515,3
516,2
517,3
518,1
519,1
520,0
521,0
522,3
523,3
524,1
525,1
526,2
527,3
528,4
529,1
530,1
531,0
