,y_pred
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,2
34,0
35,0
36,0
37,1
38,0
39,3
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,3
62,1
63,3
64,3
65,3
66,0
67,3
68,3
69,3
70,3
71,3
72,1
73,3
74,3
75,1
76,1
77,1
78,1
79,1
80,3
81,1
82,1
83,1
84,1
85,3
86,3
87,1
88,0
89,3
90,3
91,3
92,1
93,3
94,3
95,1
96,1
97,3
98,1
99,1
100,1
101,1
102,1
103,1
104,3
105,1
106,1
107,3
108,1
109,3
110,1
111,3
112,1
113,1
114,3
115,3
116,3
117,3
118,1
119,3
120,1
121,0
122,0
123,0
124,3
125,1
126,0
127,0
128,0
129,0
130,3
131,0
132,0
133,3
134,0
135,1
136,3
137,2
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,2
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,0
155,3
156,2
157,1
158,0
159,1
160,3
161,2
162,0
163,0
164,0
165,3
166,0
167,0
168,3
169,1
170,0
171,2
172,1
173,0
174,1
175,0
176,1
177,1
178,0
179,3
180,0
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,0
191,0
192,3
193,3
194,3
195,0
196,3
197,3
198,3
199,0
200,3
201,1
202,3
203,3
204,0
205,3
206,3
207,3
208,0
209,1
210,0
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,0
219,3
220,3
221,3
222,3
223,3
224,1
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,0
236,3
237,3
238,3
239,3
240,3
241,3
242,1
243,4
244,4
245,3
246,4
247,1
248,3
249,3
250,4
251,4
252,1
253,3
254,3
255,3
256,3
257,4
258,4
259,1
260,3
261,3
262,3
263,1
264,1
265,4
266,4
267,1
268,3
269,3
270,4
271,4
272,1
273,3
274,4
275,4
276,4
277,4
278,1
279,1
280,4
281,4
282,4
283,3
284,3
285,4
286,3
287,4
288,3
289,4
290,3
291,3
292,4
293,4
294,1
295,4
296,4
297,4
298,3
299,4
300,3
301,4
302,4
303,4
304,3
305,2
306,0
307,2
308,0
309,0
310,0
311,0
312,3
313,3
314,2
315,0
316,2
317,2
318,0
319,0
320,1
321,3
322,0
323,3
324,3
325,2
326,2
327,2
328,0
329,0
330,1
331,0
332,2
333,0
334,0
335,0
336,2
337,2
338,2
339,1
340,2
341,0
342,0
343,3
344,3
345,2
346,2
347,3
348,0
349,3
350,2
351,0
352,0
353,0
354,2
355,2
356,0
357,0
358,3
359,0
360,0
361,1
362,0
363,1
364,1
365,3
366,1
367,1
368,1
369,1
370,1
371,3
372,4
373,1
374,4
375,1
376,4
377,1
378,0
379,3
380,1
381,4
382,3
383,1
384,1
385,1
386,3
387,1
388,1
389,3
390,0
391,3
392,3
393,1
394,3
395,1
396,1
397,1
398,3
399,1
400,3
401,1
402,2
403,1
404,0
405,4
406,1
407,1
408,1
409,3
410,0
411,1
412,3
413,3
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,2
422,2
423,0
424,2
425,2
426,2
427,2
428,0
429,3
430,3
431,3
432,2
433,2
434,0
435,2
436,2
437,2
438,2
439,2
440,0
441,0
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,3
450,0
451,2
452,0
453,2
454,2
455,2
456,2
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,2
466,1
467,2
468,3
469,2
470,2
471,3
472,2
473,0
474,2
475,2
476,2
477,2
478,2
479,1
480,4
481,3
482,1
483,2
484,3
485,1
486,0
487,3
488,1
489,1
490,1
491,3
492,3
493,0
494,1
495,3
496,1
497,1
498,3
499,1
500,3
501,1
502,3
503,1
504,3
505,1
506,4
507,4
508,3
509,1
510,2
511,1
512,3
513,1
514,1
515,4
516,1
517,3
518,1
519,1
520,3
521,2
522,1
523,1
524,1
525,1
526,3
527,3
528,0
529,1
530,1
531,3
